split_seed,target,inner_validation_fold,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,training_patients,validation_patients,selected_columns,fit_seconds,baseline_macro_f1,baseline_priority_recall,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,recall_class_2,priority_recall,delta_macro_f1,delta_priority_recall
42,direct,3,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.07360783300100593,0.47108140992014924,0.21739130434782608,0.5038828582915423,0.5504796897325984,0.625,0.7253521126760564,0.32608695652173914,0.6,0.32608695652173914,0.032801448371393094,0.10869565217391305
42,direct,3,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.07249070800025947,0.47108140992014924,0.21739130434782608,0.5131763097549752,0.5645948152684221,0.6346153846153846,0.7394366197183099,0.30434782608695654,0.65,0.30434782608695654,0.04209489983482595,0.08695652173913046
42,direct,3,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.06300520900185802,0.47108140992014924,0.21739130434782608,0.5184651908226844,0.5624209022249439,0.6394230769230769,0.7394366197183099,0.34782608695652173,0.6,0.34782608695652173,0.047383780902535144,0.13043478260869565
42,direct,3,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.07247045899930527,0.47108140992014924,0.21739130434782608,0.4726750261233019,0.5334660134721373,0.6009615384615384,0.7112676056338029,0.2391304347826087,0.65,0.2391304347826087,0.0015936162031526813,0.021739130434782622
42,direct,3,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,47,0.11131533299703733,0.47108140992014924,0.21739130434782608,0.48142142208396305,0.5499285568483364,0.6153846153846154,0.7323943661971831,0.21739130434782608,0.7,0.21739130434782608,0.010340012163813805,0.0
42,direct,3,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,47,0.08178179199967417,0.47108140992014924,0.21739130434782608,0.48142142208396305,0.5499285568483364,0.6153846153846154,0.7323943661971831,0.21739130434782608,0.7,0.21739130434782608,0.010340012163813805,0.0
42,direct,4,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,47,0.07394149999890942,0.4979277570417508,0.2608695652173913,0.4920002020333211,0.5383343539497857,0.6201923076923077,0.7323943661971831,0.2826086956521739,0.6,0.2826086956521739,-0.005927555008429675,0.021739130434782594
42,direct,4,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,47,0.0743730409994896,0.4979277570417508,0.2608695652173913,0.4960591694576788,0.5406817717901613,0.625,0.7394366197183099,0.2826086956521739,0.6,0.2826086956521739,-0.00186858758407199,0.021739130434782594
42,direct,4,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,47,0.07399091700062854,0.4979277570417508,0.2608695652173913,0.4958504757461368,0.5406817717901613,0.625,0.7394366197183099,0.2826086956521739,0.6,0.2826086956521739,-0.0020772812956140196,0.021739130434782594
42,direct,4,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,47,0.07206075000067358,0.4979277570417508,0.2608695652173913,0.4933904511458908,0.5383343539497857,0.6201923076923077,0.7323943661971831,0.2826086956521739,0.6,0.2826086956521739,-0.004537305895859989,0.021739130434782594
42,direct,4,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,45,0.07432587499715737,0.4979277570417508,0.2608695652173913,0.4960591694576788,0.5406817717901613,0.625,0.7394366197183099,0.2826086956521739,0.6,0.2826086956521739,-0.00186858758407199,0.021739130434782594
42,direct,4,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,46,0.07577754199883202,0.4979277570417508,0.2608695652173913,0.5049835118560431,0.5479281486017555,0.6298076923076923,0.7394366197183099,0.30434782608695654,0.6,0.30434782608695654,0.00705575481429227,0.043478260869565244
42,direct,4,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,46,0.07375900000261026,0.4979277570417508,0.2608695652173913,0.5049835118560431,0.5479281486017555,0.6298076923076923,0.7394366197183099,0.30434782608695654,0.6,0.30434782608695654,0.00705575481429227,0.043478260869565244
