split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance
42,stage_1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.6828514519455984,0.02121179448455406,0.6342657342657343,0.6928444794641978,0.7144230769230769,47.8,47.8,5,0.0040164304991797,3.0,0.0031235431235431205,True
42,stage_1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.682795276610978,0.021283932004968375,0.6341724941724942,0.6928027840703896,0.7144230769230769,47.8,47.8,5,0.00396025516455942,2.0,0.0030303030303030403,False
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.6838169565435872,0.01861786844001847,0.6403263403263403,0.6944663317902755,0.7144230769230769,47.8,47.8,5,0.00498193509716858,3.0,0.009184149184149181,True
42,stage_1,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,0.6871056200710682,0.020636369074929033,0.6401864801864802,0.6972133031287961,0.7182692307692308,47.8,47.8,5,0.00827059862464954,5.0,0.00904428904428904,True
42,stage_1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6843663360254034,0.020709799575732282,0.6341724941724942,0.694216159427427,0.7163461538461539,45.8,45.8,5,0.00553131457898474,3.0,0.0030303030303030403,True
42,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6808472598442737,0.02669185242305585,0.6219114219114219,0.6894891493483042,0.7144230769230769,46.8,46.8,5,0.0020122383978551195,2.0,-0.0092307692307692,False
42,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.6808472598442737,0.02669185242305585,0.6219114219114219,0.6894891493483042,0.7144230769230769,46.8,46.8,5,0.0020122383978551195,2.0,-0.0092307692307692,False
42,stage_2,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.6729855712225046,0.04849265812437614,0.7580676328502415,0.6809385783298827,0.7103962703962704,47.0,47.0,5,-0.01152327721044908,0.0,0.00888888888888886,False
42,stage_2,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.6706776557201622,0.05742516469143605,0.7537198067632851,0.6787646652864044,0.7073659673659674,47.0,47.0,5,-0.013831192712791419,0.0,0.00454106280193234,False
42,stage_2,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.658054893245204,0.0622744084761628,0.7405797101449275,0.6671946169772257,0.6951515151515151,47.0,47.0,5,-0.026453955187749578,0.0,-0.00859903381642512,False
42,stage_2,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,0.6773913832666485,0.04229574344138512,0.7580676328502415,0.6859385783298826,0.7134731934731935,47.0,47.0,5,-0.007117465166305059,0.0,0.00888888888888886,False
42,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.683071727542211,0.05569159873919428,0.7404830917874397,0.6969082125603865,0.7135664335664336,45.2,45.2,5,-0.0014371208907427006,2.0,-0.00869565217391302,False
42,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6801199369716875,0.036610361479339576,0.7489855072463769,0.691159420289855,0.7133799533799534,46.0,46.0,5,-0.0043889114612661205,1.0,-0.00019323671497584045,False
42,stage_2,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.6801199369716875,0.036610361479339576,0.7489855072463769,0.691159420289855,0.7133799533799534,46.0,46.0,5,-0.0043889114612661205,1.0,-0.00019323671497584045,False
