split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,class_patients,observed_n,missing_n,mean,standard_deviation,median,q1,q3
0,1,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),0,no fall,398,378,20,1.7349450403258997,1.2098145257599568,1.2569656818394228,0.9132940800774956,2.0596592775617646
0,1,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),1,rare fall,127,119,8,2.5054000896488975,1.502960501735344,1.9443088853632775,1.2569656818394228,3.5496960768079613
0,1,582,NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score (8 items),2,recurrent fall,57,54,3,3.5411516033117776,1.7353032260233627,3.14834927894679,2.2879804871252047,4.580710882093744
0,1,582,NP1RTOT,MDS-UPDRS Part I rater total,0,no fall,398,398,0,3.2386934673366836,2.6944873851108415,3.0,1.0,5.0
0,1,582,NP1RTOT,MDS-UPDRS Part I rater total,1,rare fall,127,127,0,4.543307086614173,3.054416281001624,4.0,2.0,6.0
0,1,582,NP1RTOT,MDS-UPDRS Part I rater total,2,recurrent fall,57,57,0,7.245614035087719,4.163106248234029,7.0,4.0,11.0
0,1,582,BMI,Body mass index,0,no fall,398,398,0,26.586769551124974,4.248693795374496,25.991904593372332,23.72342952896951,29.329248471079097
0,1,582,BMI,Body mass index,1,rare fall,127,127,0,26.383434833615347,5.414107053052232,25.847750865051907,22.970249776492537,28.979591836734695
0,1,582,BMI,Body mass index,2,recurrent fall,57,57,0,26.07228954636799,4.86781657521775,25.54889090086012,22.733260566826,28.996539792387544
0,1,582,NP1SLPD,Daytime sleepiness,0,no fall,398,398,0,1.449748743718593,0.8928698457201932,2.0,1.0,2.0
0,1,582,NP1SLPD,Daytime sleepiness,1,rare fall,127,127,0,1.779527559055118,0.950466767759621,2.0,1.0,2.0
0,1,582,NP1SLPD,Daytime sleepiness,2,recurrent fall,57,57,0,2.210526315789474,0.9587350688959008,2.0,2.0,3.0
0,1,582,NP1URIN,Urinary problems,0,no fall,398,398,0,1.3919597989949748,1.017299075473463,1.0,1.0,2.0
0,1,582,NP1URIN,Urinary problems,1,rare fall,127,127,0,1.795275590551181,1.1007831460184063,2.0,1.0,3.0
0,1,582,NP1URIN,Urinary problems,2,recurrent fall,57,57,0,2.456140350877193,1.1030829433682108,2.0,2.0,3.0
0,1,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",0,no fall,398,398,0,1.170854271356784,0.6551134067373366,1.0,1.0,1.0
