split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,category,patients,percent_within_class
0,1,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,Yes,147,36.9
0,1,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,<Missing>,7,5.5
0,1,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,No,72,56.7
0,1,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,Yes,48,37.8
0,1,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,<Missing>,5,8.8
0,1,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,No,22,38.6
0,1,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,Yes,30,52.6
0,1,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,No,78,19.6
0,1,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Unknown,11,2.8
0,1,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Yes,309,77.6
0,1,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,No,20,15.7
0,1,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,Yes,107,84.3
0,1,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,No,15,26.3
0,1,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,Yes,42,73.7
0,1,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,No,49,12.3
0,1,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Unknown,25,6.3
0,1,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Yes,324,81.4
0,1,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,No,20,15.7
0,1,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Unknown,5,3.9
0,1,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Yes,102,80.3
0,1,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,No,10,17.5
0,1,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Unknown,1,1.8
0,1,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Yes,46,80.7
0,1,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Left,172,43.2
0,1,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Right,218,54.8
0,1,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Symmetric,5,1.3
0,1,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Unknown,3,0.8
0,1,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Left,52,40.9
0,1,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Right,73,57.5
0,1,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Symmetric,2,1.6
0,1,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Left,29,50.9
0,1,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Right,27,47.4
0,1,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Unknown,1,1.8
0,2,582,DXPOSINS,Postural instability at diagnosis,0,no fall,<Missing>,1,0.3
0,2,582,DXPOSINS,Postural instability at diagnosis,0,no fall,No,343,86.2
0,2,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Unknown,27,6.8
0,2,582,DXPOSINS,Postural instability at diagnosis,0,no fall,Yes,27,6.8
0,2,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,No,109,85.8
0,2,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Unknown,7,5.5
0,2,582,DXPOSINS,Postural instability at diagnosis,1,rare fall,Yes,11,8.7
0,2,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,No,50,87.7
0,2,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Unknown,1,1.8
0,2,582,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Yes,6,10.5
0,2,582,DXRIGID,Rigidity at diagnosis,0,no fall,No,76,19.1
0,2,582,DXRIGID,Rigidity at diagnosis,0,no fall,Unknown,33,8.3
0,2,582,DXRIGID,Rigidity at diagnosis,0,no fall,Yes,289,72.6
0,2,582,DXRIGID,Rigidity at diagnosis,1,rare fall,No,26,20.5
0,2,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Unknown,4,3.1
0,2,582,DXRIGID,Rigidity at diagnosis,1,rare fall,Yes,97,76.4
0,2,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,No,13,22.8
0,2,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Unknown,2,3.5
0,2,582,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Yes,42,73.7
0,2,582,DOPTHERST,Dopaminergic therapy started,0,no fall,<Missing>,67,16.8
0,2,582,DOPTHERST,Dopaminergic therapy started,0,no fall,No,67,16.8
0,2,582,DOPTHERST,Dopaminergic therapy started,0,no fall,Yes,264,66.3
0,2,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,<Missing>,35,27.6
0,2,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,No,16,12.6
0,2,582,DOPTHERST,Dopaminergic therapy started,1,rare fall,Yes,76,59.8
0,2,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,<Missing>,19,33.3
0,2,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,No,4,7.0
0,2,582,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,Yes,34,59.6
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,No,253,63.6
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Uncertain,12,3.0
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Yes,133,33.4
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,No,73,57.5
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,Uncertain,2,1.6
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,Yes,52,40.9
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,No,26,45.6
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Uncertain,1,1.8
0,2,582,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Yes,30,52.6
0,2,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,<Missing>,16,4.0
0,2,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,No,237,59.5
0,2,582,ANYFAMPD,Family history of Parkinson's disease,0,no fall,Yes,145,36.4
0,2,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,<Missing>,12,9.4
0,2,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,No,70,55.1
0,2,582,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,Yes,45,35.4
0,2,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,<Missing>,9,15.8
0,2,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,No,20,35.1
0,2,582,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,Yes,28,49.1
0,2,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,No,81,20.4
0,2,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Unknown,8,2.0
0,2,582,DXTREMOR,Resting tremor at diagnosis,0,no fall,Yes,309,77.6
0,2,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,No,22,17.3
0,2,582,DXTREMOR,Resting tremor at diagnosis,1,rare fall,Yes,105,82.7
0,2,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,No,16,28.1
0,2,582,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,Yes,41,71.9
0,2,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,No,49,12.3
0,2,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Unknown,23,5.8
0,2,582,DXBRADY,Bradykinesia at diagnosis,0,no fall,Yes,326,81.9
0,2,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,No,21,16.5
0,2,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Unknown,5,3.9
0,2,582,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Yes,101,79.5
0,2,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,No,9,15.8
0,2,582,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Yes,48,84.2
0,2,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Left,165,41.5
0,2,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Right,223,56.0
0,2,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Symmetric,5,1.3
0,2,582,DOMSIDE,Predominantly affected side at onset,0,no fall,Unknown,5,1.3
0,2,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Left,54,42.5
0,2,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Right,70,55.1
0,2,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Symmetric,2,1.6
0,2,582,DOMSIDE,Predominantly affected side at onset,1,rare fall,Unknown,1,0.8
0,2,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Left,28,49.1
0,2,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Right,28,49.1
0,2,582,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Unknown,1,1.8
0,3,583,DXPOSINS,Postural instability at diagnosis,0,no fall,<Missing>,1,0.3
0,3,583,DXPOSINS,Postural instability at diagnosis,0,no fall,No,339,85.0
0,3,583,DXPOSINS,Postural instability at diagnosis,0,no fall,Unknown,27,6.8
0,3,583,DXPOSINS,Postural instability at diagnosis,0,no fall,Yes,32,8.0
0,3,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,No,109,85.2
0,3,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,Unknown,7,5.5
0,3,583,DXPOSINS,Postural instability at diagnosis,1,rare fall,Yes,12,9.4
0,3,583,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,No,49,87.5
0,3,583,DXPOSINS,Postural instability at diagnosis,2,recurrent fall,Yes,7,12.5
0,3,583,DXRIGID,Rigidity at diagnosis,0,no fall,No,76,19.0
0,3,583,DXRIGID,Rigidity at diagnosis,0,no fall,Unknown,37,9.3
0,3,583,DXRIGID,Rigidity at diagnosis,0,no fall,Yes,286,71.7
0,3,583,DXRIGID,Rigidity at diagnosis,1,rare fall,No,25,19.5
0,3,583,DXRIGID,Rigidity at diagnosis,1,rare fall,Unknown,5,3.9
0,3,583,DXRIGID,Rigidity at diagnosis,1,rare fall,Yes,98,76.6
0,3,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,No,10,17.9
0,3,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Unknown,2,3.6
0,3,583,DXRIGID,Rigidity at diagnosis,2,recurrent fall,Yes,44,78.6
0,3,583,DOPTHERST,Dopaminergic therapy started,0,no fall,<Missing>,70,17.5
0,3,583,DOPTHERST,Dopaminergic therapy started,0,no fall,No,65,16.3
0,3,583,DOPTHERST,Dopaminergic therapy started,0,no fall,Yes,264,66.2
0,3,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,<Missing>,35,27.3
0,3,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,No,15,11.7
0,3,583,DOPTHERST,Dopaminergic therapy started,1,rare fall,Yes,78,60.9
