sensitivity_id,split_seed,system,sensitivity_minus_primary_macro_f1,sensitivity_minus_primary_balanced_accuracy,sensitivity_minus_primary_accuracy,sensitivity_minus_primary_macro_auc_ovr,sensitivity_minus_primary_recall_no_fall,sensitivity_minus_primary_recall_rare_fall,sensitivity_minus_primary_recall_recurrent_fall
S01_101_FLAGS,18,two_stage,0.009440675111884733,0.008017225581821608,0.009615384615384692,0.001146606848355991,0.009345794392523366,0.014705882352941235,0.0
S01_101_FLAGS,19,direct,-0.005135820306490291,-0.007766782725551313,-0.0032051282051281937,-0.0019457906726531027,-0.004672897196261627,0.014705882352941207,-0.033333333333333326
S01_101_FLAGS,19,two_stage,-0.012092351968779225,-0.008246289169873466,-0.0032051282051281937,-0.003831350229551389,0.004672897196261738,-0.02941176470588236,0.0
S02_ON_OFF,0,direct,-0.008899963673730693,-0.007168163215442003,0.0,-0.0054264426188770365,0.01869158878504673,-0.07352941176470584,0.033333333333333326
S02_ON_OFF,0,two_stage,0.004230901904386686,0.0033443283855598693,0.0,0.00175175899356661,-0.004672897196261627,0.014705882352941235,5.551115123125783e-17
S02_ON_OFF,1,direct,-0.013620747724105486,-0.012919186366135205,-0.012820512820512886,-0.0007159331755510756,-0.009345794392523366,-0.029411764705882304,0.0
S02_ON_OFF,1,two_stage,-0.008544783628553043,-0.0038238348298821334,0.0,0.0021430315631411068,0.014018691588784993,-0.05882352941176472,0.033333333333333326
S02_ON_OFF,2,direct,-0.0028146793914728407,-2.1379268218213454e-05,-0.012820512820512775,0.0061334508681420985,-0.01869158878504673,-0.01470588235294118,0.033333333333333326
S02_ON_OFF,2,two_stage,-0.008005315122958656,-0.007330034817665587,-0.028846153846153855,-0.031025259412020834,-0.051401869158878566,0.02941176470588236,0.0
S02_ON_OFF,3,direct,-0.023064730469148642,-0.029848512613768308,0.0064102564102563875,-0.0034990172478964743,0.04672897196261683,-0.1029411764705882,-0.03333333333333338
S02_ON_OFF,3,two_stage,-0.0034277438841434638,-0.002843442673019392,0.012820512820512775,0.011102640930617191,0.014018691588784993,0.044117647058823484,-0.06666666666666665
S02_ON_OFF,4,direct,-0.00541860873254274,-0.001808075255024133,-0.009615384615384581,0.000881223510342366,-0.009345794392523366,-0.02941176470588236,0.033333333333333326
S02_ON_OFF,4,two_stage,-0.01699678918991465,-0.007559098405717335,-0.022435897435897356,-0.011806046638001,-0.03738317757009346,0.014705882352941235,0.0
S02_ON_OFF,5,direct,-0.004069933289096328,-0.012876427829698778,0.012820512820512886,-0.012729354866462095,0.028037383177570097,5.551115123125783e-17,-0.06666666666666665
S02_ON_OFF,5,two_stage,0.016320499363827456,0.020435526235416224,0.009615384615384692,-0.0017579426181613123,0.009345794392523366,-0.014705882352941124,0.06666666666666671
S02_ON_OFF,6,direct,-0.005875371170889765,-0.012876427829698778,0.012820512820512886,-0.0015940597482557717,0.028037383177570097,5.551115123125783e-17,-0.06666666666666665
S02_ON_OFF,6,two_stage,-0.00579833291515941,-0.008224909901655364,0.009615384615384581,-0.005334588003574892,0.02336448598130836,-0.01470588235294118,-0.033333333333333326
S02_ON_OFF,7,direct,-0.00030953502728514604,0.006438213914849444,-0.0064102564102563875,-0.02085282252760967,-0.014018691588784993,0.0,0.033333333333333326
S02_ON_OFF,7,two_stage,-0.001048646951279597,0.0,0.0,-0.002734443965802358,0.0,5.551115123125783e-17,5.551115123125783e-17
S02_ON_OFF,8,direct,-0.005430866790564148,-0.0031152647975076775,-0.0064102564102563875,-0.019063053690816734,-0.009345794392523366,0.0,0.0
S02_ON_OFF,8,two_stage,-0.010534897606474247,-0.011361553967381366,-0.009615384615384581,-0.010439748840594731,-0.004672897196261738,-0.02941176470588236,0.0
S02_ON_OFF,9,direct,-0.0005236239471452242,-0.0017866959868058085,0.0032051282051281937,0.0012953987283306212,0.009345794392523366,-0.01470588235294118,0.0
S02_ON_OFF,9,two_stage,0.006784019730222468,0.006438213914849555,-0.0064102564102564985,0.0012427374524559553,-0.014018691588784993,5.551115123125783e-17,0.03333333333333338
S02_ON_OFF,10,direct,0.041221991499793775,0.037199926699651775,0.03525641025641035,-0.004667947472485223,0.02336448598130847,0.08823529411764708,0.0
S02_ON_OFF,10,two_stage,-0.00967749263542006,-0.019106957424714466,0.0,-0.02080527222807249,0.009345794392523366,0.0,-0.06666666666666665
S02_ON_OFF,11,direct,0.020122556449645612,0.019400158817421076,0.03205128205128216,0.013284042934310958,0.032710280373831724,0.058823529411764774,-0.033333333333333326
S02_ON_OFF,11,two_stage,0.02225178845506215,0.028932258261560095,0.019230769230769162,0.0016968428088227627,0.009345794392523366,0.04411764705882354,0.033333333333333326
S02_ON_OFF,12,direct,-0.005379431278320135,-0.003136644065726002,-0.019230769230769273,-0.0010710375704514608,-0.028037383177570097,-0.014705882352941124,0.033333333333333326
S02_ON_OFF,12,two_stage,-0.03876099527813448,-0.04781015209822248,-0.02564102564102566,0.0011237398599203141,-0.014018691588785104,-0.029411764705882304,-0.09999999999999998
S02_ON_OFF,13,direct,0.025566579744879192,0.026046057052104332,0.0064102564102563875,0.004486146104142552,-0.014018691588784993,0.058823529411764774,0.03333333333333338
S02_ON_OFF,13,two_stage,-0.007197537890216543,0.0028648219412376053,0.0,0.002866537586018292,0.004672897196261738,-0.02941176470588236,0.033333333333333326
S02_ON_OFF,14,direct,0.003076565562644351,0.00022906358805208082,-0.0064102564102563875,-0.005823589770774906,-0.014018691588785104,0.014705882352941235,0.0
S02_ON_OFF,14,two_stage,-0.017417619248282834,-0.019378779549202862,-0.019230769230769273,-0.010455322065463402,-0.014018691588784993,-0.044117647058823484,0.0
S02_ON_OFF,15,direct,-0.04923082623751357,-0.06895424836601305,-0.028846153846153855,-0.011733724351181252,0.0,-0.07352941176470584,-0.1333333333333333
S02_ON_OFF,15,two_stage,-0.008396746449119918,-0.010882047523059102,-0.009615384615384581,-0.007868991807767234,-0.014018691588785104,0.014705882352941235,-0.033333333333333326
S02_ON_OFF,16,direct,-0.001270689700528238,0.00930303585608705,-0.0064102564102563875,-0.002998781576731724,-0.009345794392523366,-0.02941176470588225,0.06666666666666665
S02_ON_OFF,16,two_stage,0.01623872088530509,0.014476818764889154,0.01602564102564108,-0.009142179524214478,0.014018691588785104,0.02941176470588236,0.0
