sensitivity_id,split_seed,system,true_class,predicted_class,patients
S01_101_FLAGS,13,two_stage,0,2,19
S01_101_FLAGS,13,two_stage,1,0,37
S01_101_FLAGS,13,two_stage,1,1,18
S01_101_FLAGS,13,two_stage,1,2,13
S01_101_FLAGS,13,two_stage,2,0,5
S01_101_FLAGS,13,two_stage,2,1,8
S01_101_FLAGS,13,two_stage,2,2,17
S01_101_FLAGS,14,direct,0,0,159
S01_101_FLAGS,14,direct,0,1,39
S01_101_FLAGS,14,direct,0,2,16
S01_101_FLAGS,14,direct,1,0,25
S01_101_FLAGS,14,direct,1,1,28
S01_101_FLAGS,14,direct,1,2,15
S01_101_FLAGS,14,direct,2,0,9
S01_101_FLAGS,14,direct,2,1,7
S01_101_FLAGS,14,direct,2,2,14
S01_101_FLAGS,14,two_stage,0,0,173
S01_101_FLAGS,14,two_stage,0,1,34
S01_101_FLAGS,14,two_stage,0,2,7
S01_101_FLAGS,14,two_stage,1,0,36
S01_101_FLAGS,14,two_stage,1,1,24
S01_101_FLAGS,14,two_stage,1,2,8
S01_101_FLAGS,14,two_stage,2,0,10
S01_101_FLAGS,14,two_stage,2,1,9
S01_101_FLAGS,14,two_stage,2,2,11
S01_101_FLAGS,15,direct,0,0,148
S01_101_FLAGS,15,direct,0,1,53
S01_101_FLAGS,15,direct,0,2,13
S01_101_FLAGS,15,direct,1,0,28
S01_101_FLAGS,15,direct,1,1,25
S01_101_FLAGS,15,direct,1,2,15
S01_101_FLAGS,15,direct,2,0,3
S01_101_FLAGS,15,direct,2,1,7
S01_101_FLAGS,15,direct,2,2,20
S01_101_FLAGS,15,two_stage,0,0,155
S01_101_FLAGS,15,two_stage,0,1,36
S01_101_FLAGS,15,two_stage,0,2,23
S01_101_FLAGS,15,two_stage,1,0,27
S01_101_FLAGS,15,two_stage,1,1,27
S01_101_FLAGS,15,two_stage,1,2,14
S01_101_FLAGS,15,two_stage,2,0,4
S01_101_FLAGS,15,two_stage,2,1,9
S01_101_FLAGS,15,two_stage,2,2,17
S01_101_FLAGS,16,direct,0,0,150
S01_101_FLAGS,16,direct,0,1,48
S01_101_FLAGS,16,direct,0,2,16
S01_101_FLAGS,16,direct,1,0,30
S01_101_FLAGS,16,direct,1,1,27
S01_101_FLAGS,16,direct,1,2,11
S01_101_FLAGS,16,direct,2,0,4
S01_101_FLAGS,16,direct,2,1,6
S01_101_FLAGS,16,direct,2,2,20
S01_101_FLAGS,16,two_stage,0,0,150
S01_101_FLAGS,16,two_stage,0,1,37
S01_101_FLAGS,16,two_stage,0,2,27
S01_101_FLAGS,16,two_stage,1,0,28
S01_101_FLAGS,16,two_stage,1,1,26
S01_101_FLAGS,16,two_stage,1,2,14
S01_101_FLAGS,16,two_stage,2,0,3
S01_101_FLAGS,16,two_stage,2,1,5
S01_101_FLAGS,16,two_stage,2,2,22
S01_101_FLAGS,17,direct,0,0,145
S01_101_FLAGS,17,direct,0,1,52
S01_101_FLAGS,17,direct,0,2,17
S01_101_FLAGS,17,direct,1,0,28
S01_101_FLAGS,17,direct,1,1,29
S01_101_FLAGS,17,direct,1,2,11
S01_101_FLAGS,17,direct,2,0,7
S01_101_FLAGS,17,direct,2,1,9
S01_101_FLAGS,17,direct,2,2,14
S01_101_FLAGS,17,two_stage,0,0,156
S01_101_FLAGS,17,two_stage,0,1,53
S01_101_FLAGS,17,two_stage,0,2,5
S01_101_FLAGS,17,two_stage,1,0,35
S01_101_FLAGS,17,two_stage,1,1,28
S01_101_FLAGS,17,two_stage,1,2,5
S01_101_FLAGS,17,two_stage,2,0,8
S01_101_FLAGS,17,two_stage,2,1,12
S01_101_FLAGS,17,two_stage,2,2,10
S01_101_FLAGS,18,direct,0,0,140
S01_101_FLAGS,18,direct,0,1,58
S01_101_FLAGS,18,direct,0,2,16
S01_101_FLAGS,18,direct,1,0,23
S01_101_FLAGS,18,direct,1,1,26
S01_101_FLAGS,18,direct,1,2,19
S01_101_FLAGS,18,direct,2,0,3
S01_101_FLAGS,18,direct,2,1,6
S01_101_FLAGS,18,direct,2,2,21
S01_101_FLAGS,18,two_stage,0,0,151
S01_101_FLAGS,18,two_stage,0,1,44
S01_101_FLAGS,18,two_stage,0,2,19
S01_101_FLAGS,18,two_stage,1,0,29
S01_101_FLAGS,18,two_stage,1,1,20
S01_101_FLAGS,18,two_stage,1,2,19
S01_101_FLAGS,18,two_stage,2,0,3
S01_101_FLAGS,18,two_stage,2,1,5
S01_101_FLAGS,18,two_stage,2,2,22
S01_101_FLAGS,19,direct,0,0,181
S01_101_FLAGS,19,direct,0,1,20
S01_101_FLAGS,19,direct,0,2,13
S01_101_FLAGS,19,direct,1,0,41
S01_101_FLAGS,19,direct,1,1,17
S01_101_FLAGS,19,direct,1,2,10
S01_101_FLAGS,19,direct,2,0,5
S01_101_FLAGS,19,direct,2,1,8
S01_101_FLAGS,19,direct,2,2,17
S01_101_FLAGS,19,two_stage,0,0,161
S01_101_FLAGS,19,two_stage,0,1,36
S01_101_FLAGS,19,two_stage,0,2,17
S01_101_FLAGS,19,two_stage,1,0,31
S01_101_FLAGS,19,two_stage,1,1,19
S01_101_FLAGS,19,two_stage,1,2,18
S01_101_FLAGS,19,two_stage,2,0,1
S01_101_FLAGS,19,two_stage,2,1,6
S01_101_FLAGS,19,two_stage,2,2,23
S02_ON_OFF,0,direct,0,0,148
S02_ON_OFF,0,direct,0,1,42
S02_ON_OFF,0,direct,0,2,24
S02_ON_OFF,0,direct,1,0,25
S02_ON_OFF,0,direct,1,1,24
S02_ON_OFF,0,direct,1,2,19
S02_ON_OFF,0,direct,2,0,3
S02_ON_OFF,0,direct,2,1,7
S02_ON_OFF,0,direct,2,2,20
S02_ON_OFF,0,two_stage,0,0,145
S02_ON_OFF,0,two_stage,0,1,57
S02_ON_OFF,0,two_stage,0,2,12
S02_ON_OFF,0,two_stage,1,0,24
S02_ON_OFF,0,two_stage,1,1,36
S02_ON_OFF,0,two_stage,1,2,8
S02_ON_OFF,0,two_stage,2,0,4
S02_ON_OFF,0,two_stage,2,1,15
S02_ON_OFF,0,two_stage,2,2,11
S02_ON_OFF,1,direct,0,0,155
S02_ON_OFF,1,direct,0,1,40
S02_ON_OFF,1,direct,0,2,19
S02_ON_OFF,1,direct,1,0,29
S02_ON_OFF,1,direct,1,1,23
S02_ON_OFF,1,direct,1,2,16
S02_ON_OFF,1,direct,2,0,4
S02_ON_OFF,1,direct,2,1,8
S02_ON_OFF,1,direct,2,2,18
S02_ON_OFF,1,two_stage,0,0,170
S02_ON_OFF,1,two_stage,0,1,30
S02_ON_OFF,1,two_stage,0,2,14
S02_ON_OFF,1,two_stage,1,0,38
S02_ON_OFF,1,two_stage,1,1,13
S02_ON_OFF,1,two_stage,1,2,17
S02_ON_OFF,1,two_stage,2,0,5
S02_ON_OFF,1,two_stage,2,1,7
S02_ON_OFF,1,two_stage,2,2,18
S02_ON_OFF,2,direct,0,0,153
S02_ON_OFF,2,direct,0,1,46
S02_ON_OFF,2,direct,0,2,15
S02_ON_OFF,2,direct,1,0,30
S02_ON_OFF,2,direct,1,1,22
S02_ON_OFF,2,direct,1,2,16
S02_ON_OFF,2,direct,2,0,5
S02_ON_OFF,2,direct,2,1,8
S02_ON_OFF,2,direct,2,2,17
S02_ON_OFF,2,two_stage,0,0,154
S02_ON_OFF,2,two_stage,0,1,46
S02_ON_OFF,2,two_stage,0,2,14
S02_ON_OFF,2,two_stage,1,0,30
S02_ON_OFF,2,two_stage,1,1,27
S02_ON_OFF,2,two_stage,1,2,11
S02_ON_OFF,2,two_stage,2,0,6
S02_ON_OFF,2,two_stage,2,1,10
S02_ON_OFF,2,two_stage,2,2,14
S02_ON_OFF,3,direct,0,0,166
S02_ON_OFF,3,direct,0,1,39
S02_ON_OFF,3,direct,0,2,9
S02_ON_OFF,3,direct,1,0,33
S02_ON_OFF,3,direct,1,1,22
S02_ON_OFF,3,direct,1,2,13
S02_ON_OFF,3,direct,2,0,8
S02_ON_OFF,3,direct,2,1,11
S02_ON_OFF,3,direct,2,2,11
S02_ON_OFF,3,two_stage,0,0,172
