sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S01_101_FLAGS,9,two_stage,0.5154642475252058,0.6602918487251765,0.6506410256410257,0.5091991936961701,0.7559986427722926,0.7570093457943925,0.47058823529411764,0.3
S01_101_FLAGS,10,direct,0.5306952121903424,0.664878071827269,0.6442307692307693,0.584417567650113,0.7804920161348591,0.7336448598130841,0.35294117647058826,0.6666666666666666
S01_101_FLAGS,10,two_stage,0.5430562698004558,0.676363762119576,0.6666666666666666,0.5981858163826278,0.7998693472273225,0.7710280373831776,0.3235294117647059,0.7
S01_101_FLAGS,11,direct,0.4637842334992574,0.6347387704816136,0.6185897435897436,0.4735568993952721,0.7354448128129035,0.7383177570093458,0.38235294117647056,0.3
S01_101_FLAGS,11,two_stage,0.5289009993436319,0.6492084648025241,0.6378205128205128,0.5779579744670453,0.7652083284716878,0.7289719626168224,0.3382352941176471,0.6666666666666666
S01_101_FLAGS,12,direct,0.49059920204453106,0.6233146691143713,0.6057692307692307,0.5399303646692322,0.7277433004654409,0.6962616822429907,0.3235294117647059,0.6
S01_101_FLAGS,12,two_stage,0.5118702052233063,0.6639946025293196,0.657051282051282,0.5271180746441879,0.7307743625998663,0.780373831775701,0.36764705882352944,0.43333333333333335
S01_101_FLAGS,13,direct,0.47495278444183553,0.6170592462001783,0.6057692307692307,0.4916834646631238,0.7542629531579347,0.7289719626168224,0.27941176470588236,0.4666666666666667
S01_101_FLAGS,13,two_stage,0.4946040003440286,0.6323185730870026,0.6282051282051282,0.5279029992059129,0.7548470902366599,0.7523364485981309,0.2647058823529412,0.5666666666666667
S01_101_FLAGS,14,direct,0.5163421039477377,0.6577590788858395,0.6442307692307693,0.5404740089182091,0.7478377351373013,0.7429906542056075,0.4117647058823529,0.4666666666666667
S01_101_FLAGS,14,two_stage,0.5158296369612766,0.6633519279881865,0.6666666666666666,0.5093396860301753,0.7301245571745832,0.8084112149532711,0.35294117647058826,0.36666666666666664
S01_101_FLAGS,15,direct,0.5309328533396787,0.6371394204629671,0.6185897435897436,0.5753008368456416,0.768260001631262,0.6915887850467289,0.36764705882352944,0.6666666666666666
S01_101_FLAGS,15,two_stage,0.5218253968253969,0.6545558608058608,0.6378205128205128,0.562674851872213,0.750275816958737,0.7242990654205608,0.39705882352941174,0.5666666666666667
S01_101_FLAGS,16,direct,0.5452218236947252,0.6459462934286718,0.6314102564102564,0.5882200232117768,0.7697444823384548,0.7009345794392523,0.39705882352941174,0.6666666666666666
S01_101_FLAGS,16,two_stage,0.5383216305441464,0.6497602370407597,0.6346153846153846,0.6055402846496855,0.7534307294555692,0.7009345794392523,0.38235294117647056,0.7333333333333333
S01_101_FLAGS,17,direct,0.4973393685402938,0.6222480203155523,0.6025641025641025,0.5235691161199681,0.731786560768402,0.677570093457944,0.4264705882352941,0.4666666666666667
S01_101_FLAGS,17,two_stage,0.5010913429483805,0.6324295944782312,0.6217948717948718,0.4913566672775029,0.709619747589755,0.7289719626168224,0.4117647058823529,0.3333333333333333
S01_101_FLAGS,18,direct,0.5181093741123489,0.6240869235655656,0.5993589743589743,0.5788528495510353,0.7537573897034558,0.6542056074766355,0.38235294117647056,0.7
S01_101_FLAGS,18,two_stage,0.513854993827047,0.6324090168433693,0.6185897435897436,0.577686152342557,0.7655161551222966,0.705607476635514,0.29411764705882354,0.7333333333333333
S01_101_FLAGS,19,direct,0.5358203064903444,0.6753077072293254,0.6891025641025641,0.5541536863966771,0.7873204486688259,0.8457943925233645,0.25,0.5666666666666667
S01_101_FLAGS,19,two_stage,0.5361519024309722,0.6571152283361587,0.6506410256410257,0.5994716266568934,0.7941869315822264,0.7523364485981309,0.27941176470588236,0.7666666666666667
S02_ON_OFF,0,direct,0.5098358059236577,0.6361303679396705,0.6153846153846154,0.5703988760613279,0.751772709341984,0.6915887850467289,0.35294117647058826,0.6666666666666666
S02_ON_OFF,0,two_stage,0.5063668839879286,0.6378192662027965,0.6153846153846154,0.524549508276831,0.762170043569354,0.677570093457944,0.5294117647058824,0.36666666666666664
S02_ON_OFF,1,direct,0.5119381567215209,0.642758079926166,0.6282051282051282,0.5541781198460694,0.7621243080235374,0.7242990654205608,0.3382352941176471,0.6
S02_ON_OFF,1,two_stage,0.49076270432765384,0.6379873826509848,0.6442307692307693,0.5285229979842404,0.7662675490559575,0.794392523364486,0.19117647058823528,0.6
S02_ON_OFF,2,direct,0.5008823404345792,0.6306096898806428,0.6153846153846154,0.5350497831531367,0.7517424313340021,0.7149532710280374,0.3235294117647059,0.5666666666666667
S02_ON_OFF,2,two_stage,0.508596411037591,0.639872784261748,0.625,0.5277838861401257,0.6964300031033991,0.719626168224299,0.39705882352941174,0.4666666666666667
