sensitivity_id,split_seed,target,patients,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,priority_recall
S02_ON_OFF,9,stage_2,98,0.6105960264900663,0.6058823529411764,0.7244897959183674,0.9117647058823529,0.3,0.9117647058823529
S02_ON_OFF,10,stage_1,312,0.7129054520358868,0.721819568949075,0.7435897435897436,0.780373831775701,0.6632653061224489,0.6632653061224489
S02_ON_OFF,10,stage_2,98,0.6576901408450704,0.678921568627451,0.6836734693877551,0.6911764705882353,0.6666666666666666,0.6911764705882353
S02_ON_OFF,11,stage_1,312,0.6952269741643555,0.7109956131985504,0.7211538461538461,0.7383177570093458,0.6836734693877551,0.6836734693877551
S02_ON_OFF,11,stage_2,98,0.7258741258741259,0.7397058823529412,0.7551020408163265,0.7794117647058824,0.7,0.7794117647058824
S02_ON_OFF,12,stage_1,312,0.6638515274736733,0.6693209994278084,0.7019230769230769,0.7570093457943925,0.5816326530612245,0.5816326530612245
S02_ON_OFF,12,stage_2,98,0.6412974883251293,0.6377450980392156,0.7040816326530612,0.8088235294117647,0.4666666666666667,0.8088235294117647
S02_ON_OFF,13,stage_1,312,0.6521577553769684,0.6567804691970246,0.6923076923076923,0.7523364485981309,0.5612244897959183,0.5612244897959183
S02_ON_OFF,13,stage_2,98,0.6751893939393939,0.6823529411764706,0.7142857142857143,0.7647058823529411,0.6,0.7647058823529411
S02_ON_OFF,14,stage_1,312,0.6678373450482752,0.6639805454892238,0.7211538461538461,0.8177570093457944,0.5102040816326531,0.5102040816326531
S02_ON_OFF,14,stage_2,98,0.6054421768707483,0.6004901960784313,0.7040816326530612,0.8676470588235294,0.3333333333333333,0.8676470588235294
S02_ON_OFF,15,stage_1,312,0.6861201702504007,0.7071810032424184,0.7083333333333334,0.7102803738317757,0.7040816326530612,0.7040816326530612
S02_ON_OFF,15,stage_2,98,0.6485016776582205,0.6602941176470588,0.6836734693877551,0.7205882352941176,0.6,0.7205882352941176
S02_ON_OFF,16,stage_1,312,0.6475279106858054,0.664886515353805,0.6730769230769231,0.6869158878504673,0.6428571428571429,0.6428571428571429
S02_ON_OFF,16,stage_2,98,0.7392109221335185,0.7563725490196078,0.7653061224489796,0.7794117647058824,0.7333333333333333,0.7794117647058824
S02_ON_OFF,17,stage_1,312,0.6285033888990658,0.6353232881937821,0.6666666666666666,0.719626168224299,0.5510204081632653,0.5510204081632653
S02_ON_OFF,17,stage_2,98,0.6144767899291896,0.6112745098039216,0.7448979591836735,0.9558823529411765,0.26666666666666666,0.9558823529411765
S02_ON_OFF,18,stage_1,312,0.6726785714285715,0.6891092885752432,0.6987179487179487,0.7149532710280374,0.6632653061224489,0.6632653061224489
S02_ON_OFF,18,stage_2,98,0.6834836841519101,0.7122549019607842,0.7040816326530612,0.6911764705882353,0.7333333333333333,0.6911764705882353
S02_ON_OFF,19,stage_1,312,0.6841959972394756,0.6920656112912456,0.717948717948718,0.7616822429906542,0.6224489795918368,0.6224489795918368
S02_ON_OFF,19,stage_2,98,0.6960567124501551,0.728921568627451,0.7142857142857143,0.6911764705882353,0.7666666666666667,0.6911764705882353
S03_COHORT_1043,0,stage_1,312,0.6728988292853398,0.6982643524699599,0.6923076923076923,0.6822429906542056,0.7142857142857143,0.7142857142857143
S03_COHORT_1043,0,stage_2,98,0.6241095890410959,0.6171568627450981,0.7142857142857143,0.8676470588235294,0.36666666666666664,0.8676470588235294
S03_COHORT_1043,1,stage_1,312,0.7042930858968208,0.7084207514781613,0.7403846153846154,0.794392523364486,0.6224489795918368,0.6224489795918368
S03_COHORT_1043,1,stage_2,98,0.6608187134502923,0.6656862745098039,0.7040816326530612,0.7647058823529411,0.5666666666666667,0.7647058823529411
S03_COHORT_1043,2,stage_1,312,0.6870467515997003,0.6944020598893763,0.7211538461538461,0.7663551401869159,0.6224489795918368,0.6224489795918368
S03_COHORT_1043,2,stage_2,98,0.6225324987963409,0.625,0.673469387755102,0.75,0.5,0.75
S03_COHORT_1043,3,stage_1,312,0.6864321608040201,0.6880125882128552,0.7275641025641025,0.794392523364486,0.5816326530612245,0.5816326530612245
S03_COHORT_1043,3,stage_2,98,0.5739130434782609,0.5745098039215686,0.6938775510204082,0.8823529411764706,0.26666666666666666,0.8823529411764706
S03_COHORT_1043,4,stage_1,312,0.6461830389724128,0.6589261872973489,0.6762820512820513,0.705607476635514,0.6122448979591837,0.6122448979591837
S03_COHORT_1043,4,stage_2,98,0.7122724603640634,0.7230392156862745,0.7448979591836735,0.7794117647058824,0.6666666666666666,0.7794117647058824
S03_COHORT_1043,5,stage_1,312,0.6572531874521466,0.6746614533663933,0.6826923076923077,0.6962616822429907,0.6530612244897959,0.6530612244897959
S03_COHORT_1043,5,stage_2,98,0.615686274509804,0.6098039215686274,0.7040816326530612,0.8529411764705882,0.36666666666666664,0.8529411764705882
S03_COHORT_1043,6,stage_1,312,0.6853569987898347,0.7012206751859622,0.7115384615384616,0.7289719626168224,0.673469387755102,0.673469387755102
S03_COHORT_1043,6,stage_2,98,0.6662360540223136,0.675,0.7040816326530612,0.75,0.6,0.75
S03_COHORT_1043,7,stage_1,312,0.6598694100501474,0.6674136944497425,0.6955128205128205,0.7429906542056075,0.5918367346938775,0.5918367346938775
S03_COHORT_1043,7,stage_2,98,0.6165884194053208,0.611764705882353,0.6938775510204082,0.8235294117647058,0.4,0.8235294117647058
S03_COHORT_1043,8,stage_1,312,0.6785289688515495,0.6905874499332443,0.7083333333333334,0.7383177570093458,0.6428571428571429,0.6428571428571429
S03_COHORT_1043,8,stage_2,98,0.6461242176215696,0.6490196078431372,0.6938775510204082,0.7647058823529411,0.5333333333333333,0.7647058823529411
S03_COHORT_1043,9,stage_1,312,0.6799635286072487,0.6901583063131795,0.7115384615384616,0.7476635514018691,0.6326530612244898,0.6326530612244898
S03_COHORT_1043,9,stage_2,98,0.5897129186602871,0.5892156862745098,0.7142857142857143,0.9117647058823529,0.26666666666666666,0.9117647058823529
S03_COHORT_1043,10,stage_1,312,0.7167755991285403,0.730116345603662,0.7435897435897436,0.7663551401869159,0.6938775510204082,0.6938775510204082
S03_COHORT_1043,10,stage_2,98,0.656140350877193,0.6901960784313725,0.673469387755102,0.6470588235294118,0.7333333333333333,0.6470588235294118
S03_COHORT_1043,11,stage_1,312,0.6785289688515495,0.6905874499332443,0.7083333333333334,0.7383177570093458,0.6428571428571429,0.6428571428571429
S03_COHORT_1043,11,stage_2,98,0.6786885245901639,0.6803921568627451,0.7244897959183674,0.7941176470588235,0.5666666666666667,0.7941176470588235
S03_COHORT_1043,12,stage_1,312,0.6927675251103464,0.699074957085638,0.7275641025641025,0.7757009345794392,0.6224489795918368,0.6224489795918368
S03_COHORT_1043,12,stage_2,98,0.7155118010854474,0.7098039215686274,0.7653061224489796,0.8529411764705882,0.5666666666666667,0.8529411764705882
S03_COHORT_1043,13,stage_1,312,0.6614235290086015,0.6701792866679381,0.6955128205128205,0.7383177570093458,0.6020408163265306,0.6020408163265306
S03_COHORT_1043,13,stage_2,98,0.6786885245901639,0.6803921568627451,0.7244897959183674,0.7941176470588235,0.5666666666666667,0.7941176470588235
S03_COHORT_1043,14,stage_1,312,0.7002006933041416,0.6965000953652489,0.7467948717948718,0.8317757009345794,0.5612244897959183,0.5612244897959183
S03_COHORT_1043,14,stage_2,98,0.6421906693711967,0.6338235294117647,0.7244897959183674,0.8676470588235294,0.4,0.8676470588235294
S03_COHORT_1043,15,stage_1,312,0.6935714285714285,0.7114247568186153,0.717948717948718,0.7289719626168224,0.6938775510204082,0.6938775510204082
S03_COHORT_1043,15,stage_2,98,0.7076023391812865,0.7137254901960783,0.7448979591836735,0.7941176470588235,0.6333333333333333,0.7941176470588235
S03_COHORT_1043,16,stage_1,312,0.6350474508938424,0.6527751287430861,0.6602564102564102,0.6728971962616822,0.6326530612244898,0.6326530612244898
S03_COHORT_1043,16,stage_2,98,0.7392109221335185,0.7563725490196078,0.7653061224489796,0.7794117647058824,0.7333333333333333,0.7794117647058824
S03_COHORT_1043,17,stage_1,312,0.6400397518933553,0.6478638184245661,0.6762820512820513,0.7242990654205608,0.5714285714285714,0.5714285714285714
S03_COHORT_1043,17,stage_2,98,0.6598639455782314,0.6485294117647059,0.7448979591836735,0.8970588235294118,0.4,0.8970588235294118
S03_COHORT_1043,18,stage_1,312,0.6723232546570118,0.6923040244135037,0.6955128205128205,0.7009345794392523,0.6836734693877551,0.6836734693877551
S03_COHORT_1043,18,stage_2,98,0.692652329749104,0.7196078431372549,0.7142857142857143,0.7058823529411765,0.7333333333333333,0.7058823529411765
S03_COHORT_1043,19,stage_1,312,0.6999450448800146,0.7097081823383559,0.7307692307692307,0.7663551401869159,0.6530612244897959,0.6530612244897959
S03_COHORT_1043,19,stage_2,98,0.723943661971831,0.7509803921568627,0.7448979591836735,0.7352941176470589,0.7666666666666667,0.7352941176470589
S04_REVISION_PREPROCESSING,0,stage_1,312,0.6746539630967148,0.6978352088498951,0.6955128205128205,0.6915887850467289,0.7040816326530612,0.7040816326530612
S04_REVISION_PREPROCESSING,0,stage_2,98,0.6597222222222222,0.6504901960784314,0.7346938775510204,0.8676470588235294,0.43333333333333335,0.8676470588235294
S04_REVISION_PREPROCESSING,1,stage_1,312,0.6998733048660316,0.7033187106618348,0.7371794871794872,0.794392523364486,0.6122448979591837,0.6122448979591837
S04_REVISION_PREPROCESSING,1,stage_2,98,0.6519886363636364,0.6583333333333333,0.6938775510204082,0.75,0.5666666666666667,0.75
S04_REVISION_PREPROCESSING,2,stage_1,312,0.7055097515210098,0.7175758153728782,0.7339743589743589,0.7616822429906542,0.673469387755102,0.673469387755102
S04_REVISION_PREPROCESSING,2,stage_2,98,0.6287878787878788,0.634313725490196,0.673469387755102,0.7352941176470589,0.5333333333333333,0.7352941176470589
S04_REVISION_PREPROCESSING,3,stage_1,312,0.6858307360345242,0.6848178523745947,0.7307692307692307,0.8084112149532711,0.5612244897959183,0.5612244897959183
S04_REVISION_PREPROCESSING,3,stage_2,98,0.6241095890410959,0.6171568627450981,0.7142857142857143,0.8676470588235294,0.36666666666666664,0.8676470588235294
S04_REVISION_PREPROCESSING,4,stage_1,312,0.6685514547136836,0.6776177760823956,0.7019230769230769,0.7429906542056075,0.6122448979591837,0.6122448979591837
S04_REVISION_PREPROCESSING,4,stage_2,98,0.7309941520467835,0.7377450980392157,0.7653061224489796,0.8088235294117647,0.6666666666666666,0.8088235294117647
S04_REVISION_PREPROCESSING,5,stage_1,312,0.6572531874521466,0.6746614533663933,0.6826923076923077,0.6962616822429907,0.6530612244897959,0.6530612244897959
S04_REVISION_PREPROCESSING,5,stage_2,98,0.625,0.621078431372549,0.6938775510204082,0.8088235294117647,0.43333333333333335,0.8088235294117647
S04_REVISION_PREPROCESSING,6,stage_1,312,0.6812144212523719,0.6961186343696357,0.7083333333333334,0.7289719626168224,0.6632653061224489,0.6632653061224489
S04_REVISION_PREPROCESSING,6,stage_2,98,0.6801864801864802,0.6916666666666667,0.7142857142857143,0.75,0.6333333333333333,0.75
S04_REVISION_PREPROCESSING,7,stage_1,312,0.6694568950462775,0.6739938966240702,0.7083333333333334,0.7663551401869159,0.5816326530612245,0.5816326530612245
S04_REVISION_PREPROCESSING,7,stage_2,98,0.648397872077199,0.6470588235294117,0.7040816326530612,0.7941176470588235,0.5,0.7941176470588235
S04_REVISION_PREPROCESSING,8,stage_1,312,0.6742919389978214,0.6854854091169178,0.7051282051282052,0.7383177570093458,0.6326530612244898,0.6326530612244898
S04_REVISION_PREPROCESSING,8,stage_2,98,0.6461242176215696,0.6490196078431372,0.6938775510204082,0.7647058823529411,0.5333333333333333,0.7647058823529411
S04_REVISION_PREPROCESSING,9,stage_1,312,0.6856567136838249,0.6948312035094412,0.717948717948718,0.7570093457943925,0.6326530612244898,0.6326530612244898
S04_REVISION_PREPROCESSING,9,stage_2,98,0.5836349331235248,0.5872549019607843,0.7244897959183674,0.9411764705882353,0.23333333333333334,0.9411764705882353
S04_REVISION_PREPROCESSING,10,stage_1,312,0.7179915939802052,0.7328819378218577,0.7435897435897436,0.7616822429906542,0.7040816326530612,0.7040816326530612
S04_REVISION_PREPROCESSING,10,stage_2,98,0.6888888888888889,0.7102941176470587,0.7142857142857143,0.7205882352941176,0.7,0.7205882352941176
