sensitivity_id,system,metric,mean_difference,ci95_low,ci95_high,corrected_resampled_p_value,seeds_higher,seeds_lower,n_outer_seeds,test_train_ratio
S02_ON_OFF,two_stage,recall_recurrent_fall,-0.009999999999999986,-0.07475340359352661,0.054753403593526644,0.750051500975824,7,6,20,0.42857142857142855
S03_COHORT_1043,direct,macro_f1,0.00520909082733749,-0.02502701520018243,0.035445196854857405,0.7223858462291575,11,9,20,0.426812585499316
S03_COHORT_1043,direct,balanced_accuracy,0.004792468389224855,-0.030592695313150356,0.040177632091600066,0.7798797256374225,11,9,20,0.426812585499316
S03_COHORT_1043,direct,accuracy,0.0022435897435897413,-0.02286437997527266,0.027351559462452144,0.8536215296276819,9,9,20,0.426812585499316
S03_COHORT_1043,direct,macro_auc_ovr,0.0031904057962341024,-0.006548154681142005,0.012928966273610211,0.5011926731104032,13,7,20,0.426812585499316
S03_COHORT_1043,direct,recall_no_fall,0.0007009345794392385,-0.02515790799282599,0.026559777151704468,0.9553495604096068,10,9,20,0.426812585499316
S03_COHORT_1043,direct,recall_rare_fall,0.003676470588235327,-0.03876140937241121,0.04611435054888187,0.8580347796978497,11,4,20,0.426812585499316
S03_COHORT_1043,direct,recall_recurrent_fall,0.010000000000000005,-0.06007499024394741,0.08007499024394743,0.7684237343882141,9,6,20,0.426812585499316
S03_COHORT_1043,two_stage,macro_f1,-7.617938933677238e-05,-0.021160417019522437,0.02100805824084889,0.994045055243612,8,10,20,0.426812585499316
S03_COHORT_1043,two_stage,balanced_accuracy,0.00038345244639911293,-0.02156953397968427,0.022336438872482493,0.9712181575863998,8,10,20,0.426812585499316
S03_COHORT_1043,two_stage,accuracy,0.0006410256410256443,-0.014130326144849742,0.01541237742690103,0.9285784083308466,8,7,20,0.426812585499316
S03_COHORT_1043,two_stage,macro_auc_ovr,0.0017881514244440567,-0.0054145258413351525,0.008990828690223267,0.6093305197332554,10,10,20,0.426812585499316
S03_COHORT_1043,two_stage,recall_no_fall,-0.00046728971962618494,-0.014985221748157546,0.014050642308905178,0.9469923787308155,9,8,20,0.426812585499316
S03_COHORT_1043,two_stage,recall_rare_fall,0.006617647058823553,-0.03936938033588114,0.05260467445352825,0.7665399964389816,12,6,20,0.426812585499316
S03_COHORT_1043,two_stage,recall_recurrent_fall,-0.004999999999999988,-0.05260164666978495,0.04260164666978497,0.8283344328049074,4,5,20,0.426812585499316
S04_REVISION_PREPROCESSING,direct,macro_f1,0.00838696726596716,-0.020993474871611108,0.03776740940354543,0.5572437096913221,14,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,balanced_accuracy,0.008829943192230174,-0.02793420029546198,0.04559408667992233,0.6209531571622178,14,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,accuracy,0.00657051282051283,-0.013431458567325688,0.02657248420835135,0.500047521447106,15,5,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,macro_auc_ovr,0.003013934735286261,-0.007224541442871065,0.013252410913443587,0.5451199266563339,14,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,recall_no_fall,0.005607476635514014,-0.017582703619695293,0.02879765689072332,0.6186073057030057,9,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,recall_rare_fall,0.005882352941176501,-0.04168029867925405,0.05344500456160705,0.7985295185293829,12,7,20,0.42857142857142855
S04_REVISION_PREPROCESSING,direct,recall_recurrent_fall,0.015000000000000005,-0.07559929924201718,0.10559929924201718,0.732752751665586,8,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,macro_f1,0.007469798938955769,-0.019136761043223524,0.03407635892113506,0.5637085304613427,13,7,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,balanced_accuracy,0.009113676623297281,-0.015680141274929713,0.03390749452152428,0.45114417694665837,15,5,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,accuracy,0.008333333333333342,-0.008460173548975096,0.02512684021564178,0.3120248021423817,16,4,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,macro_auc_ovr,0.003668623161434503,-0.007485120869321109,0.014822367192190114,0.49950526435632997,13,7,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,recall_no_fall,0.007242990654205606,-0.01398064414398764,0.02846662545239885,0.48373392273866145,14,4,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,recall_rare_fall,0.011764705882352974,-0.04156878582725894,0.06509819759196489,0.6495423151971016,12,7,20,0.42857142857142855
S04_REVISION_PREPROCESSING,two_stage,recall_recurrent_fall,0.008333333333333345,-0.0596978501136019,0.0763645167802686,0.8004125471225452,8,5,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,macro_f1,-0.004031130391748791,-0.030103211418449804,0.022040950634952223,0.7497663200524602,10,9,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,balanced_accuracy,-0.0051024677783885865,-0.03288238269498761,0.02267744713821044,0.7049245929241574,11,8,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,accuracy,-0.0016025641025640969,-0.026366224588811795,0.0231610963836836,0.8936818440159858,9,9,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,macro_auc_ovr,-0.003568484174722314,-0.01214661375381709,0.00500964540437246,0.39478962548416996,5,14,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,recall_no_fall,0.0032710280373831726,-0.02643305834793275,0.0329751144226991,0.8201785783072179,9,7,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,recall_rare_fall,-0.016911764705882314,-0.07054642042741413,0.0367228910156495,0.5172006096994628,8,10,20,0.42857142857142855
S05_CONSTIPATION_LATEST,direct,recall_recurrent_fall,-0.0016666666666666635,-0.05234724493109661,0.049013911597763284,0.9458437139377127,8,6,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,macro_f1,-0.00035752748699519055,-0.023612969844490857,0.022897914870500476,0.9746657263737404,12,8,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,balanced_accuracy,0.0009668010506383218,-0.02158138106219112,0.023514983163467767,0.9294308509584748,11,8,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,accuracy,-0.00032051282051281384,-0.020233027600046048,0.019592001959020423,0.9734762249123099,10,6,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,macro_auc_ovr,-0.0014751626727243007,-0.008643618581973486,0.005693293236524885,0.6715232206993504,8,12,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,recall_no_fall,-0.0011682242990654179,-0.021979153836977645,0.01964270523884681,0.9077031823624163,9,8,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,recall_rare_fall,0.0007352941176470811,-0.051638782318293545,0.05310937055358771,0.976864364136298,11,7,20,0.42857142857142855
S05_CONSTIPATION_LATEST,two_stage,recall_recurrent_fall,0.003333333333333341,-0.023333014804176353,0.029999681470843035,0.7964210605808287,6,2,20,0.42857142857142855
