sensitivity_id,target,selected_column,selected_seeds
S01_101_FLAGS,stage_2,NP3GAIT_COMBINED_MAX,18
S01_101_FLAGS,stage_2,SCAU14,18
S01_101_FLAGS,stage_2,NP1RTOT,17
S01_101_FLAGS,stage_2,ANYFAMPD_Missing,13
S01_101_FLAGS,stage_2,ANYFAMPD_No,13
S01_101_FLAGS,stage_2,ANYFAMPD_Yes,13
S01_101_FLAGS,stage_2,NP1URIN,13
S01_101_FLAGS,stage_2,DOMSIDE_Left,12
S01_101_FLAGS,stage_2,DOMSIDE_Right,12
S01_101_FLAGS,stage_2,DOMSIDE_Symmetric,12
S01_101_FLAGS,stage_2,DOMSIDE_Unknown,12
S01_101_FLAGS,stage_2,GDS_TOTAL,12
S01_101_FLAGS,stage_2,FEATPOSHYP_No,10
S01_101_FLAGS,stage_2,FEATPOSHYP_Uncertain,10
S01_101_FLAGS,stage_2,FEATPOSHYP_Yes,10
S01_101_FLAGS,stage_2,NP3TOT_COMBINED_MAX,9
S01_101_FLAGS,stage_2,DOPTHERST_Missing,8
S01_101_FLAGS,stage_2,DOPTHERST_No,8
S01_101_FLAGS,stage_2,DOPTHERST_Yes,8
S01_101_FLAGS,stage_2,NP1SLPD,7
S01_101_FLAGS,stage_2,NP3GAIT_WAS_101_EVER,7
S01_101_FLAGS,stage_2,NP3PSTBL_WAS_101_EVER,7
S01_101_FLAGS,stage_2,DXPOSINS_No,6
S01_101_FLAGS,stage_2,DXPOSINS_Unknown,6
S01_101_FLAGS,stage_2,DXPOSINS_Yes,6
S01_101_FLAGS,stage_2,DXRIGID_No,6
S01_101_FLAGS,stage_2,DXRIGID_Unknown,6
S01_101_FLAGS,stage_2,DXRIGID_Yes,6
S01_101_FLAGS,stage_2,DXBRADY_No,5
S01_101_FLAGS,stage_2,DXBRADY_Unknown,5
S01_101_FLAGS,stage_2,DXBRADY_Yes,5
S01_101_FLAGS,stage_2,DXTREMOR_No,5
S01_101_FLAGS,stage_2,DXTREMOR_Yes,5
S01_101_FLAGS,stage_2,Age,4
S01_101_FLAGS,stage_2,BMI,4
S01_101_FLAGS,stage_2,DXTREMOR_Unknown,4
S01_101_FLAGS,stage_2,MCATOT,4
S01_101_FLAGS,stage_2,NHY_WAS_101_EVER,4
S01_101_FLAGS,stage_2,SCAU16,4
S01_101_FLAGS,stage_2,NP1CNST,2
S01_101_FLAGS,stage_2,PCA_PART_I_PATIENT_3_90_PC1,2
S01_101_FLAGS,stage_2,PCA_PART_I_PATIENT_3_90_PC2,2
S01_101_FLAGS,stage_2,PCA_PART_I_PATIENT_3_90_PC3,2
S01_101_FLAGS,stage_2,PCA_PART_I_PATIENT_3_80_PC1,1
S01_101_FLAGS,stage_2,PCA_PART_I_PATIENT_3_80_PC2,1
S02_ON_OFF,direct,FOG_FORM_MISSING,20
S02_ON_OFF,direct,FRZGT12M,20
S02_ON_OFF,direct,NHY_OFF_MAX,20
S02_ON_OFF,direct,NHY_ON_MAX,20
S02_ON_OFF,direct,NP3GAIT_OFF_MAX,20
S02_ON_OFF,direct,NP3GAIT_ON_MAX,20
S02_ON_OFF,direct,NP3PSTBL_OFF_MAX,20
S02_ON_OFF,direct,NP3PSTBL_ON_MAX,20
S02_ON_OFF,direct,NP3TOT_OFF_MAX,20
S02_ON_OFF,direct,NP3TOT_ON_MAX,20
S02_ON_OFF,direct,NP4TOT,20
S02_ON_OFF,direct,NQ_FORM_MISSING,20
S02_ON_OFF,direct,NQ_GAUSSIAN_REVISION,20
S02_ON_OFF,direct,OFF_STATE_AVAILABLE,20
S02_ON_OFF,direct,ON_STATE_AVAILABLE,20
S02_ON_OFF,direct,PART_IV_FORM_MISSING,20
S02_ON_OFF,direct,Years_since_PD_diagnosis,20
S02_ON_OFF,direct,ANYFAMPD_Missing,19
S02_ON_OFF,direct,ANYFAMPD_No,19
S02_ON_OFF,direct,ANYFAMPD_Yes,19
S02_ON_OFF,direct,NP1CNST,17
S02_ON_OFF,direct,NP1RTOT,16
S02_ON_OFF,direct,NP1URIN,16
S02_ON_OFF,direct,DOPTHERST_Missing,15
S02_ON_OFF,direct,DOPTHERST_No,15
S02_ON_OFF,direct,DOPTHERST_Yes,15
S02_ON_OFF,direct,GDS_TOTAL,14
S02_ON_OFF,direct,Age,13
S02_ON_OFF,direct,MCATOT,13
S02_ON_OFF,direct,SCAU14,13
S02_ON_OFF,direct,SCAU16,12
S02_ON_OFF,direct,FEATPOSHYP_No,11
S02_ON_OFF,direct,FEATPOSHYP_Uncertain,11
S02_ON_OFF,direct,FEATPOSHYP_Yes,11
S02_ON_OFF,direct,NP1SLPD,11
S02_ON_OFF,direct,DOMSIDE_Left,8
S02_ON_OFF,direct,DOMSIDE_Right,8
S02_ON_OFF,direct,DOMSIDE_Symmetric,8
S02_ON_OFF,direct,DOMSIDE_Unknown,8
S02_ON_OFF,direct,DXBRADY_No,7
S02_ON_OFF,direct,DXBRADY_Unknown,7
S02_ON_OFF,direct,DXBRADY_Yes,7
S02_ON_OFF,direct,BMI,6
S02_ON_OFF,direct,DXPOSINS_No,6
S02_ON_OFF,direct,DXPOSINS_Unknown,6
S02_ON_OFF,direct,DXPOSINS_Yes,6
S02_ON_OFF,direct,DXRIGID_No,6
S02_ON_OFF,direct,DXRIGID_Unknown,6
S02_ON_OFF,direct,DXRIGID_Yes,6
S02_ON_OFF,direct,DXTREMOR_No,6
S02_ON_OFF,direct,DXTREMOR_Unknown,6
S02_ON_OFF,direct,DXTREMOR_Yes,6
S02_ON_OFF,direct,DXPOSINS_Missing,5
S02_ON_OFF,direct,PCA_PART_I_PATIENT_3_80_PC1,1
S02_ON_OFF,direct,PCA_PART_I_PATIENT_3_80_PC2,1
S02_ON_OFF,direct,PCA_PART_I_PATIENT_3_90_PC1,1
S02_ON_OFF,direct,PCA_PART_I_PATIENT_3_90_PC2,1
S02_ON_OFF,direct,PCA_PART_I_PATIENT_3_90_PC3,1
S02_ON_OFF,stage_1,FOG_FORM_MISSING,20
S02_ON_OFF,stage_1,FRZGT12M,20
S02_ON_OFF,stage_1,NHY_OFF_MAX,20
S02_ON_OFF,stage_1,NHY_ON_MAX,20
S02_ON_OFF,stage_1,NP3GAIT_OFF_MAX,20
S02_ON_OFF,stage_1,NP3GAIT_ON_MAX,20
S02_ON_OFF,stage_1,NP3PSTBL_OFF_MAX,20
S02_ON_OFF,stage_1,NP3PSTBL_ON_MAX,20
S02_ON_OFF,stage_1,NP3TOT_OFF_MAX,20
S02_ON_OFF,stage_1,NP3TOT_ON_MAX,20
S02_ON_OFF,stage_1,NP4TOT,20
S02_ON_OFF,stage_1,NQ_FORM_MISSING,20
S02_ON_OFF,stage_1,NQ_GAUSSIAN_REVISION,20
S02_ON_OFF,stage_1,OFF_STATE_AVAILABLE,20
S02_ON_OFF,stage_1,ON_STATE_AVAILABLE,20
S02_ON_OFF,stage_1,PART_IV_FORM_MISSING,20
S02_ON_OFF,stage_1,NP1RTOT,19
S02_ON_OFF,stage_1,Years_since_PD_diagnosis,19
S02_ON_OFF,stage_1,DOPTHERST_Missing,18
S02_ON_OFF,stage_1,DOPTHERST_No,18
S02_ON_OFF,stage_1,DOPTHERST_Yes,18
S02_ON_OFF,stage_1,Age,17
S02_ON_OFF,stage_1,NP1CNST,17
S02_ON_OFF,stage_1,MCATOT,16
S02_ON_OFF,stage_1,ANYFAMPD_Missing,14
S02_ON_OFF,stage_1,ANYFAMPD_No,14
S02_ON_OFF,stage_1,ANYFAMPD_Yes,14
S02_ON_OFF,stage_1,BMI,14
S02_ON_OFF,stage_1,GDS_TOTAL,14
S02_ON_OFF,stage_1,DXBRADY_No,12
