split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
5,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.5285663374620204,0.02993765866025464,0.4026209677419355,0.5492517222920449,0.6496551724137931,24.2,18.4,0.42201960819948,5,2
5,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.6826077290055388,0.029597439398400316,0.6434782608695653,0.6941633728590251,0.7128389230042513,16.2,11.6,0.2758013584010769,5,1
5,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,logistic,scaled_dense,0.6820089852645629,0.021425458099212917,0.6217391304347826,0.6903241106719368,0.7156258856872932,16.2,11.6,0.10955577480053762,5,2
5,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,0.6778282358208003,0.07865655430365007,0.7487903225806452,0.6915380184331796,0.7130434782608696,9.4,7.2,0.159522174999438,5,1
5,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,random_forest,unscaled_dense,0.6572566557926145,0.08204562852726377,0.8306451612903226,0.6553225806451614,0.7217391304347827,46.0,26.0,0.27221499160077656,5,2
6,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.559613300962619,0.03685497207216032,0.4586693548387097,0.589338077394529,0.6497213037316958,30.2,20.4,0.4332290163991274,5,1
6,direct,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,random_forest,unscaled_dense,0.5448479253108143,0.039835097779793396,0.427016129032258,0.5756691570078667,0.6442040623523855,38.0,21.8,0.2929488832000061,5,2
6,stage_1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,none,all,INT_MOTOR_X_COGNITION,interaction,random_forest,scaled_dense,0.698709964899425,0.03345604338320179,0.6434782608695653,0.7072643829600351,0.7307132735002362,47.8,27.0,0.2716770083992742,5,1
6,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,extra_trees,unscaled_dense,0.6885687441431717,0.03344614131955714,0.6608695652173913,0.7019196310935442,0.716976854038734,23.2,16.2,0.1786103334008658,5,2
6,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,0.6965185843479791,0.06662809933396995,0.7856854838709678,0.7023665514592934,0.7347826086956522,24.2,13.0,0.2267770582002413,5,1
