model_family,grid_id,parameters
xgboost,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,11,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,12,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,14,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
lightgbm,0,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,1,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,2,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,3,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,4,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,5,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,6,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,7,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,8,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,9,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
