split_seed,target,retained_rank,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,grid_id,parameters,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds
8,direct,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,scaled_dense,6,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.5219357522042837,0.024856872240670447,0.39576612903225805,0.5473650444537541,0.6483514407179972,47.0,27.0,0.16805672479895292,5
8,stage_1,2,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,scaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.697503954467524,0.03037464086164841,0.6610011306403536,0.7090662218858335,0.7266225791213982,47.0,27.0,0.15943185840078514,5
8,stage_2,2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6605108805468682,0.031549128095564885,0.7790322580645161,0.6647542242703534,0.7086339808818994,20.0,10.6,0.21948258340053145,5
9,direct,2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,rbf_svc,scaled_dense,9,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.01}",0.5250273023539486,0.061251255691318944,0.4580645161290322,0.5817059690608077,0.608615965989608,45.8,27.0,0.03656065019968082,5
9,stage_1,1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,logistic,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.685343394101954,0.02964689305325716,0.6521739130434783,0.6976526130873957,0.7143410486537554,20.4,13.8,0.1698768749993178,5
9,stage_2,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,4,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.6898764647898441,0.07897941891401704,0.9050403225806452,0.6768058755760369,0.7652173913043478,17.0,13.2,0.2893837166004232,5
10,direct,1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5213109884676542,0.061133229079859526,0.35141129032258067,0.5645175681546649,0.6235427491733585,22.0,13.0,0.27805247500073166,5
10,stage_1,1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,extra_trees,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6728761973653383,0.022933756968799082,0.6608695652173913,0.6888691260430391,0.699130845536136,20.0,13.0,0.2202602081997611,5
10,stage_2,2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,extra_trees,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6865941482888418,0.09190276587963771,0.7610887096774194,0.6962586405529955,0.7217391304347827,46.0,26.0,0.13265044179934193,5
11,direct,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,rbf_svc,scaled_dense,7,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.5094474393005346,0.05743022614670161,0.4217741935483871,0.5301863954444599,0.6415210203117618,46.8,27.0,0.04249357519947807,5
11,stage_1,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,9,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": 0.01}",0.695295627223428,0.036005183726985655,0.6485291396854764,0.7058201253982938,0.7267170524326878,27.8,19.6,0.1296699661994353,5
11,stage_2,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,scaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6464081792929665,0.06625015959111687,0.7346774193548387,0.6559101382488479,0.6864158700791447,45.8,27.0,0.12942289999919013,5
12,direct,1,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,1,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.5273241166271785,0.05212849554185591,0.4338709677419355,0.568209033499356,0.6262635805384978,25.8,18.8,0.34582752520072974,5
12,stage_1,1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,catboost,scaled_dense,1,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.6998279367670982,0.036389817614352823,0.6434782608695653,0.7082441809398331,0.7321398205007086,46.8,27.0,0.13699504179967334,5
12,stage_2,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,5,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.6719151537552583,0.07818428954513168,0.8235887096774194,0.6708419738863287,0.7304347826086957,15.8,12.0,0.2825956831991789,5
13,direct,1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,random_forest,scaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5426237110286066,0.01566620348605318,0.3586693548387097,0.5696680437244953,0.6634955125177138,47.8,27.0,0.1936676584002271,5
13,stage_1,1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.7036771127497122,0.03238807552241847,0.6435892691951897,0.7113501901531504,0.7362683042040624,19.8,13.2,0.20499710840012994,5
13,stage_2,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6709182451155041,0.057050273129068935,0.6987903225806452,0.6936808755760369,0.6956028368794327,16.8,13.0,0.3174078833995736,5
14,direct,1,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,5,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.5186587270727387,0.07219140426419661,0.4155241935483871,0.5538548658629303,0.6182239017477562,26.0,19.0,0.4935683500007144,5
14,stage_1,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,6,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.7010861951366314,0.02371525910856946,0.6392537773666358,0.7081925452489746,0.7335285781766652,26.6,19.2,0.3965987582007074,5
14,stage_2,1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,xgboost,native,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""none"", ""subsample"": 0.8}",0.7113255664086627,0.08854999945380779,0.8931451612903226,0.7018106758832565,0.7744310823311749,23.6,13.0,0.35460617519929655,5
15,direct,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.49778334874688035,0.05132403793850254,0.3528225806451613,0.5279153671895608,0.6153708077468115,14.8,9.8,0.2709125748006045,5
15,stage_1,2,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,logistic,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.6944904273864297,0.05669248484389692,0.6608695652173913,0.7068994290733421,0.7239395370807747,20.6,14.6,0.04871012500007055,5
15,stage_2,1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,logistic,scaled_dense,3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.6691279149233049,0.09263120098582768,0.7546370967741935,0.6792233102918587,0.7086956521739131,26.2,13.0,0.5817853000000468,5
16,direct,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5201080402516169,0.04842513077967308,0.3776209677419355,0.5464749065152291,0.647094945677846,24.2,18.0,0.38879022499968413,5
16,stage_1,1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,rbf_svc,scaled_dense,7,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.6925812618232831,0.06531507883190583,0.6695652173913044,0.7063684672815108,0.7198866320264525,45.0,27.0,0.034730958399450174,5
16,stage_2,1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,logistic,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.6744184455391352,0.05398303387191134,0.7233870967741935,0.6931221198156682,0.7043478260869566,7.6,5.0,0.09335919179939083,5
17,direct,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,3,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}",0.5170909433968707,0.04315880580250541,0.3965725806451613,0.5340080800322735,0.6456589513462447,25.8,18.8,0.3586663086003682,5
17,stage_1,1,SEL_01,raw__none__all,selector_configuration,none,all,,raw,logistic,scaled_dense,3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.6985233279991925,0.03184886017659577,0.6565217391304348,0.7087558190601669,0.7280302314596127,46.8,26.0,0.08545963360011229,5
17,stage_2,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,3,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6761030657322218,0.09908801985160819,0.9183467741935484,0.6639352918586789,0.7608695652173914,15.6,8.8,0.22502929979964392,5
18,direct,2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,catboost,native,9,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",0.5282938987045745,0.0412975851499628,0.4657258064516129,0.5594526136945491,0.6249976381672178,22.4,13.0,0.3388376832008362,5
18,stage_1,2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,extra_trees,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6751157408303353,0.026942345277066532,0.6434782608695653,0.6881835748792271,0.7046858762399622,17.6,11.8,0.21854995820103795,5
18,stage_2,2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6718571922159887,0.07537018329834437,0.773991935483871,0.676519777265745,0.7130434782608696,25.8,13.0,0.22278936659931786,5
19,direct,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,linear_svc,scaled_dense,3,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.5009344462670416,0.07211582870590034,0.26411290322580644,0.5154796738506416,0.6648086915446386,24.8,18.6,0.25298068299889565,5
19,stage_1,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,logistic,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.679123477537303,0.04297543166254708,0.6428368794326241,0.6909234902213626,0.7087860179499291,14.2,10.0,0.15390920859936158,5
19,stage_2,1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,linear_svc,scaled_dense,1,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.6577222394463773,0.06674428437341041,0.7483870967741936,0.6680030721966206,0.6995724123753726,5.4,3.6,0.03831865000101971,5
