split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance,retained_rank
5,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5088688200307351,0.034611038858483004,0.33326612903225805,0.5501651887538984,0.6263297118564005,18.2,10.4,5,,,,True,2
5,stage_1,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6967271577285457,0.020305275296833354,0.6391304347826087,0.7050803689064559,0.7293811998110533,46.8,26.0,5,,,,True,1
5,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6831821595692391,0.010522061832022249,0.6391304347826087,0.6940803689064559,0.7142843646669815,16.6,11.6,5,,,,True,2
5,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6660782703886152,0.08596333674677038,0.755241935483871,0.6733352534562212,0.7043478260869566,9.4,7.2,5,,,,True,1
5,stage_2,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6439751956575066,0.06801793802148352,0.7733870967741936,0.6471697388632872,0.6956521739130435,46.0,26.0,5,,,,True,2
6,direct,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.5259407281100803,0.05532872090991034,0.4844758064516129,0.5702471062390417,0.6235521965044875,38.0,21.8,5,,,,True,1
6,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5220876175908167,0.042403628977487055,0.4022177419354839,0.5692491078216884,0.6263202645252716,30.2,20.4,5,,,,True,2
6,stage_1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.6900655036084495,0.03943838158831041,0.6434782608695653,0.7002441809398331,0.7210958904109589,47.8,47.8,5,0.01867408607433687,4.0,0.021739130434782615,True,1
6,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6797341862726654,0.033526746961005605,0.6391304347826087,0.6909995608256477,0.7100991969768541,23.2,16.2,5,,,,True,2
6,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6912858981189806,0.07754645508986119,0.7794354838709678,0.6992415514592933,0.7304347826086957,23.0,13.0,5,,,,True,1
