inner_validation_fold,group,model,metric,mean_drop
1,NP1SLPD,two_stage_system,macro_f1,-0.005084481483057779
1,NP1SLPD,two_stage_system,rare_fall_recall,0.0
1,NP1SLPD,stage_1,macro_f1,-0.008136609631079738
1,NP1SLPD,stage_2,macro_f1,0.0
1,NP1SLPD,stage_2,rare_fall_recall,0.0
1,NP1URIN,direct_system,macro_f1,-0.001040864349697429
1,NP1URIN,direct_system,rare_fall_recall,-0.022222222222222233
1,NP1URIN,two_stage_system,macro_f1,-0.01646588398447265
1,NP1URIN,two_stage_system,rare_fall_recall,-0.0044444444444444505
1,NP1URIN,stage_1,macro_f1,-0.011050637360106908
1,NP1URIN,stage_2,macro_f1,-0.01795890971297166
1,NP1URIN,stage_2,rare_fall_recall,-0.006666666666666677
1,NP3GAIT_COMBINED_MAX,direct_system,macro_f1,-0.0065917675555923535
1,NP3GAIT_COMBINED_MAX,direct_system,rare_fall_recall,-0.020000000000000018
1,NP3GAIT_COMBINED_MAX,two_stage_system,macro_f1,-0.014617241283067328
1,NP3GAIT_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.013333333333333358
1,NP3GAIT_COMBINED_MAX,stage_1,macro_f1,-0.010804359673832652
1,NP3GAIT_COMBINED_MAX,stage_2,macro_f1,-0.010189186313841869
1,NP3GAIT_COMBINED_MAX,stage_2,rare_fall_recall,-0.008888888888888901
1,NP3PSTBL_COMBINED_MAX,direct_system,macro_f1,-0.00787460477393236
1,NP3PSTBL_COMBINED_MAX,direct_system,rare_fall_recall,-0.008888888888888908
1,NP3PSTBL_COMBINED_MAX,two_stage_system,macro_f1,0.0073570393750635125
1,NP3PSTBL_COMBINED_MAX,two_stage_system,rare_fall_recall,0.05333333333333331
1,NP3PSTBL_COMBINED_MAX,stage_1,macro_f1,0.007790594875756451
1,NP3PSTBL_COMBINED_MAX,stage_2,macro_f1,0.003386822160916825
1,NP3PSTBL_COMBINED_MAX,stage_2,rare_fall_recall,0.0155555555555555
1,NHY_COMBINED_MAX,direct_system,macro_f1,-0.0030329066156554564
1,NHY_COMBINED_MAX,direct_system,rare_fall_recall,-0.06000000000000001
1,NHY_COMBINED_MAX,two_stage_system,macro_f1,0.005622476481914579
1,NHY_COMBINED_MAX,two_stage_system,rare_fall_recall,0.011111111111111094
1,NHY_COMBINED_MAX,stage_1,macro_f1,-0.0020929725657022114
1,NHY_COMBINED_MAX,stage_2,macro_f1,0.012730197514807196
1,NHY_COMBINED_MAX,stage_2,rare_fall_recall,0.022222222222222143
1,FEATPOSHYP,direct_system,macro_f1,-0.0014255986312892322
1,FEATPOSHYP,direct_system,rare_fall_recall,-0.020000000000000018
1,FEATPOSHYP,two_stage_system,macro_f1,-0.007569756026261143
1,FEATPOSHYP,two_stage_system,rare_fall_recall,-0.011111111111111127
1,FEATPOSHYP,stage_1,macro_f1,-0.0094853880014114
1,FEATPOSHYP,stage_2,macro_f1,0.0
1,FEATPOSHYP,stage_2,rare_fall_recall,0.0
1,NP3TOT_COMBINED_MAX,direct_system,macro_f1,0.0016149904059412968
1,NP3TOT_COMBINED_MAX,direct_system,rare_fall_recall,-0.020000000000000018
1,NP3TOT_COMBINED_MAX,two_stage_system,macro_f1,-0.010580648389193259
1,NP3TOT_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.013333333333333353
1,NP3TOT_COMBINED_MAX,stage_1,macro_f1,-0.012756632338329566
1,NP3TOT_COMBINED_MAX,stage_2,macro_f1,0.0
1,NP3TOT_COMBINED_MAX,stage_2,rare_fall_recall,0.0
1,GROUP_PART_IV_FORM,direct_system,macro_f1,-0.01304435468670167
1,GROUP_PART_IV_FORM,direct_system,rare_fall_recall,-0.10222222222222224
1,GROUP_PART_IV_FORM,two_stage_system,macro_f1,0.01676813668818295
1,GROUP_PART_IV_FORM,two_stage_system,rare_fall_recall,-0.02666666666666669
1,GROUP_PART_IV_FORM,stage_1,macro_f1,0.0003077548458360613
1,GROUP_PART_IV_FORM,stage_2,macro_f1,0.052793851308588755
1,GROUP_PART_IV_FORM,stage_2,rare_fall_recall,-0.04888888888888895
1,ANYFAMPD,direct_system,macro_f1,-0.001085271859904463
1,ANYFAMPD,direct_system,rare_fall_recall,-0.011111111111111132
1,ANYFAMPD,two_stage_system,macro_f1,-0.008469561980056061
1,ANYFAMPD,two_stage_system,rare_fall_recall,-0.004444444444444462
1,ANYFAMPD,stage_1,macro_f1,-0.0038530141311610587
1,ANYFAMPD,stage_2,macro_f1,-0.011912431427610304
1,ANYFAMPD,stage_2,rare_fall_recall,-0.015555555555555578
1,DXTREMOR,direct_system,macro_f1,0.0
1,DXTREMOR,direct_system,rare_fall_recall,0.0
1,DXTREMOR,two_stage_system,macro_f1,0.0
1,DXTREMOR,two_stage_system,rare_fall_recall,0.0
1,DXTREMOR,stage_1,macro_f1,0.0
1,DXTREMOR,stage_2,macro_f1,0.0
1,DXTREMOR,stage_2,rare_fall_recall,0.0
1,DXBRADY,direct_system,macro_f1,0.0
1,DXBRADY,direct_system,rare_fall_recall,0.0
1,DXBRADY,two_stage_system,macro_f1,0.0
1,DXBRADY,two_stage_system,rare_fall_recall,0.0
1,DXBRADY,stage_1,macro_f1,0.0
1,DXBRADY,stage_2,macro_f1,0.0
1,DXBRADY,stage_2,rare_fall_recall,0.0
1,DOMSIDE,direct_system,macro_f1,0.0
1,DOMSIDE,direct_system,rare_fall_recall,0.0
1,DOMSIDE,two_stage_system,macro_f1,0.004863860687652477
1,DOMSIDE,two_stage_system,rare_fall_recall,-0.015555555555555578
1,DOMSIDE,stage_1,macro_f1,0.0
1,DOMSIDE,stage_2,macro_f1,0.011652268238673779
1,DOMSIDE,stage_2,rare_fall_recall,-0.015555555555555578
1,NP1CNST,direct_system,macro_f1,-0.006033699544044901
1,NP1CNST,direct_system,rare_fall_recall,-0.0022222222222222365
1,NP1CNST,two_stage_system,macro_f1,-0.011762681416287234
1,NP1CNST,two_stage_system,rare_fall_recall,0.013333333333333326
1,NP1CNST,stage_1,macro_f1,-0.01674302517442742
1,NP1CNST,stage_2,macro_f1,0.0
1,NP1CNST,stage_2,rare_fall_recall,0.0
