model,metric,group,mean_drop,sd_drop,folds_positive,label
stage_2,macro_f1,DXBRADY,0.0,0.0,0,Bradykinesia at diagnosis
stage_2,macro_f1,DXPOSINS,0.0,0.0,0,Postural instability at diagnosis
stage_2,macro_f1,DXRIGID,-0.006110951878408346,0.01366450380735109,0,Rigidity at diagnosis
stage_2,macro_f1,DXTREMOR,0.0,0.0,0,Tremor at diagnosis
stage_2,macro_f1,FEATPOSHYP,0.006449478610136708,0.017208427168702793,3,Symptomatic orthostatic hypotension documented
stage_2,macro_f1,GDS_TOTAL,0.0,0.0,0,Geriatric Depression Scale total
stage_2,macro_f1,GROUP_FREEZING_FORM,0.09865866025267403,0.03601696254495166,5,"Freezing of gait, preceding 12 months"
stage_2,macro_f1,GROUP_NEUROQOL_FORM,0.05135262000766898,0.023918347183902615,5,Neuro-QoL Gaussian mobility score (8 items)
stage_2,macro_f1,GROUP_PART_IV_FORM,0.08026320635472012,0.0245437930189539,5,MDS-UPDRS Part IV total (motor complications)
stage_2,macro_f1,MCATOT,0.0,0.0,0,MoCA total (cognition)
stage_2,macro_f1,NHY_COMBINED_MAX,0.025919751161503368,0.03839387031272053,4,Hoehn and Yahr stage
stage_2,macro_f1,NP1CNST,0.0,0.0,0,Constipation
stage_2,macro_f1,NP1RTOT,0.009268026595922716,0.011666256454914892,3,MDS-UPDRS Part I rater total
stage_2,macro_f1,NP1SLPD,0.0,0.0,0,Daytime sleepiness
stage_2,macro_f1,NP1URIN,0.002796312135378376,0.022117854121592322,1,Urinary problems
stage_2,macro_f1,NP3GAIT_COMBINED_MAX,0.005378869900558021,0.02711775716598131,2,Gait (MDS-UPDRS Part III)
stage_2,macro_f1,NP3PSTBL_COMBINED_MAX,0.0027720577186206978,0.01976181014101387,3,Postural stability (MDS-UPDRS Part III)
stage_2,macro_f1,NP3TOT_COMBINED_MAX,0.0,0.0,0,MDS-UPDRS Part III motor total
stage_2,macro_f1,SCAU14,0.007151605275331342,0.023600511695372122,2,Lightheadedness on standing up (SCOPA-AUT)
stage_2,macro_f1,SCAU16,0.0,0.0,0,Fainting in preceding six months (SCOPA-AUT)
stage_2,macro_f1,Years_since_PD_diagnosis,0.03171291341754923,0.03623121737855792,3,Years since PD diagnosis
stage_2,rare_fall_recall,ANYFAMPD,-0.011642512077294711,0.02333318330434561,2,Family history of PD
stage_2,rare_fall_recall,Age,0.0,0.0,0,Age
stage_2,rare_fall_recall,BMI,0.0,0.0,0,Body mass index
stage_2,rare_fall_recall,DOMSIDE,0.002985507246376802,0.019673357732159346,2,Dominant side at diagnosis
stage_2,rare_fall_recall,DOPTHERST,-0.0004734299516908248,0.007416867165535023,3,Dopaminergic therapy started
stage_2,rare_fall_recall,DXBRADY,0.0,0.0,0,Bradykinesia at diagnosis
stage_2,rare_fall_recall,DXPOSINS,0.0,0.0,0,Postural instability at diagnosis
stage_2,rare_fall_recall,DXRIGID,-0.0017777777777777826,0.003975231959999637,0,Rigidity at diagnosis
stage_2,rare_fall_recall,DXTREMOR,0.0,0.0,0,Tremor at diagnosis
stage_2,rare_fall_recall,FEATPOSHYP,-0.003990338164251213,0.006557924306556925,0,Symptomatic orthostatic hypotension documented
stage_2,rare_fall_recall,GDS_TOTAL,0.0,0.0,0,Geriatric Depression Scale total
stage_2,rare_fall_recall,GROUP_FREEZING_FORM,-0.011497584541062814,0.03687416227835299,2,"Freezing of gait, preceding 12 months"
stage_2,rare_fall_recall,GROUP_NEUROQOL_FORM,-0.011439613526570058,0.02499425591552587,3,Neuro-QoL Gaussian mobility score (8 items)
stage_2,rare_fall_recall,GROUP_PART_IV_FORM,-0.021700483091787466,0.02536941239654985,1,MDS-UPDRS Part IV total (motor complications)
stage_2,rare_fall_recall,MCATOT,0.0,0.0,0,MoCA total (cognition)
stage_2,rare_fall_recall,NHY_COMBINED_MAX,-0.004850241545893745,0.017087032324777648,1,Hoehn and Yahr stage
stage_2,rare_fall_recall,NP1CNST,0.0,0.0,0,Constipation
stage_2,rare_fall_recall,NP1RTOT,-0.007120772946859914,0.017163619628039632,1,MDS-UPDRS Part I rater total
stage_2,rare_fall_recall,NP1SLPD,0.0,0.0,0,Daytime sleepiness
stage_2,rare_fall_recall,NP1URIN,-0.0008985507246376834,0.00335906889410276,1,Urinary problems
stage_2,rare_fall_recall,NP3GAIT_COMBINED_MAX,-0.01057004830917875,0.020384481437583722,1,Gait (MDS-UPDRS Part III)
stage_2,rare_fall_recall,NP3PSTBL_COMBINED_MAX,-0.0062318840579710395,0.023774104740186208,2,Postural stability (MDS-UPDRS Part III)
stage_2,rare_fall_recall,NP3TOT_COMBINED_MAX,0.0,0.0,0,MDS-UPDRS Part III motor total
stage_2,rare_fall_recall,SCAU14,-0.006164251207729477,0.0122715584035202,2,Lightheadedness on standing up (SCOPA-AUT)
